osm_type,osm_id,name,name_en,name_ru,name_ky,elevation_m,lat,lon,prominence,wikidata,wikipedia
node,3336726166,Petrosyanc,Petrosyanc,Петросянца,Петросянц,4285,42.422535,74.8096543,,,
node,5604555020,Teaghan,,,,4285,41.9567583,76.7628861,,,
node,2605899294,,,,,4284.4,42.1318635,71.0326379,,,
node,385811683,Акпай,,Акпай,,4284,42.5218429,74.3439545,,,
node,7341569967,,,,,4284,39.5417374,71.2394071,,,
node,349007653,,,,,4283.0,42.2053285,71.2671899,,,
node,1740226391,,,,,4283,42.9962395,77.3237103,,,
node,11502627789,Meiramtau,Meiramtau,Мейрамтау,,4283,42.9754612,77.1165908,,,
node,11816733277,,,,,4283,42.8095318,77.1315417,,,
node,1738488931,,,,,4282,43.1073297,77.6014857,,,
node,2626959268,,,,,4282,39.2986289,73.8955324,,,
node,9668742505,Маленький принц,,,,4281,39.6785362,71.7609289,,,
node,11591936698,Novgorod,Novgorod,Новгород,,4281,43.0741345,77.2651978,,,
node,2626958613,,,,,4280,39.0103688,73.6508116,,,
node,12374365867,пик Кошевого,,,,4280,42.5492781,74.5457323,,,
node,5767976382,,,,,4279.1,39.3797611,71.4098162,,,
node,2147912905,Leninskaya smena,Leninskaya smena,Ленинская смена,Ленинская смена,4279,42.9542914,77.0333781,,,
node,3345910474,пик Студентов,,,,4279,42.4518317,74.4768471,,,
node,5767976397,,,,,4278.7,39.4591111,71.3910462,,,
node,2398927086,Turan tiger,Turan tiger,Туранского тигра,,4278,43.1224476,77.5546797,,,
node,11696447244,,,,,4278,43.0274712,77.1840693,,,
node,5767976366,,,,,4277.3,39.4663911,71.4819562,,,
node,8244520334,Ulqen Esik,Ulqen Esik,Большой Иссык,,4277,43.170026,77.5046412,,,
node,2593669614,,,,,4276.8,42.237095,71.2089637,,,
node,3336726116,пик Геологов,,пик Геологов,,4276,42.4047303,74.6932672,,,
node,8244520335,Pol'skij,Pol'skij,Польский,,4275,43.130514,77.5435605,,,
node,301100552,Przhevalsky Peak,Przhevalsky Peak,пик Пржевальского,,4272,42.3445257,78.5293294,,,
node,2626959199,,,,,4272,39.2701444,73.8768736,,,
node,1867556550,,,,,4270,42.2502518,78.951539,,,
node,9447577915,пик Дюкло,,,,4270,42.2117287,78.4433269,,,
node,2591280604,,,,,4269.0,42.1644281,70.7365026,,,
node,3172598596,Karaulshetau,Karaulshetau,Караулшетау,,4269,43.1092272,77.2941575,,,
node,1740226524,Pechat,Pechat,Печати,,4268,43.0301464,77.1836537,,,
node,5767976531,,,,,4268,39.3428811,71.0837662,,,
node,2959677445,Pik Freeapproved 2,,,,4267,41.1031735,77.5247452,,,
node,12248328850,,,,,4267,42.8680089,77.2161626,,,
node,12188566092,,,,,4265,42.9384367,77.5337179,,,
node,1738488998,Mechtatel,Mechtatel,Мечтатель,,4264,43.1187544,77.5561759,,,
node,5768091073,,,,,4264,39.7981729,70.8644601,,,
node,8685270893,Dushokha,,,,4264,39.1653973,70.0356305,,,
node,5578958593,Zhambyl,Zhambyl,Жамбыла,,4263,43.0921787,77.2378588,,,
node,5607880124,пик Иргай,,пик Иргай,,4263,39.0983265,71.7334699,,,
node,11503027530,Oleg Koshevoy,Oleg Koshevoy,Олега Кошевого,Олег Кошевой,4263,42.9883083,77.0856791,,,
node,2593135331,,,,,4262,39.0521646,74.3576273,,,
node,13123215547,Novyh gorizontov,Novyh gorizontov,Новых горизонтов,,4262,43.128115,77.547189,,,
node,3338501085,,,,,4261,42.4298641,74.8841757,,,
node,3345999228,,,,,4261,42.5118653,74.6140522,,,
node,8244520337,,,,,4261,43.1148272,77.5183973,,,
node,10244303905,,,,,4261,42.3858833,79.9778167,,,
node,2600846525,,,,,4260.1,42.1526766,71.0911018,,,
node,1867556558,,,,,4260,42.2695924,78.7128353,,,
node,1544318756,,,,,4258.0,42.2040671,70.7809661,,,
node,1859831090,,,,,4258,42.0605231,75.875485,,,
node,385768289,,,,,4257,42.5204053,74.4207131,,,
node,1740226518,Belyj nosorog,Belyj nosorog,Белый носорог,,4256,43.024809,77.2165353,,,
node,1740256743,,,,,4256,43.0160424,77.2610553,,,
node,5767351060,,,,,4256,39.627547,71.7149803,,,
node,13009021733,,,,,4256,42.8491689,77.1245193,,,
node,5767976494,Гулама,,,,4255,39.3463111,71.1370462,,,
node,9429643454,,,,,4255,39.7557783,73.7092295,,,
node,3338501198,,,,,4254,42.4543927,74.8266166,,,
node,1532511172,,,,,4253.0,42.2160023,70.802545,,,
node,1867556502,,,,,4253,42.1521047,78.742527,,,
node,11591959363,,,,,4253,42.952083,77.0685191,,,
node,10176135605,,,,,4252,42.9071503,77.7035623,,,
node,5767976361,,,,,4251.1,39.4834311,71.4859762,,,
node,5578960408,Кумыштаг,,,,4251,42.2633056,71.7960306,,,
node,5767976539,,,,,4251,39.635281,71.7605262,,,
node,2600846361,,,,,4250.9,42.1291811,71.1016086,,,
node,5610390252,Корона Сангхона,,,,4250,39.010279,69.023114,,,
node,5767976521,,,,,4250,39.4685811,71.1228662,,,
node,10567965367,,,,,4250,39.3002849,70.0599089,,,
node,5767977001,,,,,4249.5,39.4799311,71.3472662,,,
node,3336726162,,,,,4249,42.4218459,74.8396575,,,
node,3345910422,,,,,4248,42.4363021,74.5532629,,,
node,13009128503,Stena,Stena,Стена,,4247,42.8356928,77.0870505,,,
node,1738488934,Saz,Saz,Саз,,4246,43.1073139,77.6273703,,,
node,2596899192,,,,,4246,39.2617504,74.8165933,,,
node,10246531980,Nauka,Nauka,Наука,Наука,4246,42.8699469,77.1300034,,,
node,13598703717,,,,,4246,42.940605,77.3327687,,,
node,3345999319,пик Фрунзе,,пик Фрунзе,,4245,42.5594482,74.5890374,,,
node,5734412473,,,,,4245,41.9928341,77.3317771,,,
node,11591861965,Kunanbaev,Kunanbaev,Кунанбаева,,4245,43.1283576,77.333926,,,
node,385768290,Peak Agitator,Peak Agitator,,,4244,42.5485991,74.4102564,,,
node,2596899180,,,,,4244,39.2514402,74.6721843,,,
node,1738488889,,,,,4243,43.1004793,77.5715614,,,
node,1738489208,Paustovsky,Paustovsky,Паустовского,,4243,43.1811144,77.5086439,,,
