osm_type,osm_id,name,name_en,name_ru,name_ky,elevation_m,lat,lon,prominence,wikidata,wikipedia,prominence_calc
node,5605661134,Pogranichnik,Pogranichnik,Пограничник,,5000,42.3109447,80.2703397,,,,152
node,2593135296,,,,,4995,39.0121676,74.2863088,,,,153
node,10218666382,,,,,4990,42.1526189,79.6508574,,,,179
node,10226207008,,,,,4990,41.9248555,79.2206525,,,,1355
node,2589812497,,,,,4989,41.8702878,79.769678,,,,731
node,2593135307,,,,,4989,39.0268299,74.2612137,,,,108
node,2589812569,,,,,4987,41.9737776,79.9815082,,,,165
node,5604555953,Турклуба МГУ,,,,4983,41.755834,78.3043392,,,,675
node,2593036151,,,,,4980,39.296101,74.0394955,,,,104
node,2593036149,,,,,4964,39.2952663,74.754783,,,,541
node,2596899048,,,,,4964,39.1377123,74.9045445,,,,133
node,2598261538,,,,,4964,39.0027473,74.8922421,,,,786
node,2117817864,,,,,4961,41.9572681,79.8162049,,,,145
node,2593135316,,,,,4961,39.0354409,74.0947879,,,,113
node,10242159304,Исследователей,,Исследователей,,4960,42.2188722,80.0170111,,,,64
node,5604555955,пик СНК Киргизии,,,,4956,41.8204575,78.2072769,,,,454
node,2593146261,,,,,4951,39.0945173,74.8621432,,,,101
node,2117690534,Uzlovaya,Uzlovaya,Узловая,,4950,42.3183021,80.2840516,,,,127
node,2588407046,,,,,4945,42.1276731,80.1851216,,,,11
node,2589812543,,,,,4944,41.9347985,79.8622291,,,,57
node,5605660237,Laetitia,,,,4940,41.6486,78.81608,,,,331
node,5605660735,пик Советская Россия,,,,4937,42.2432639,78.7536556,,,,768
node,10223838187,,,,,4935,42.2557926,79.9247549,,,,239
node,2593036083,,,,,4934,39.272937,74.6823878,,,,245
node,5605660736,пик Вильнюсского университета,,,,4930,42.2076167,78.6652667,,,,701
node,2589812558,,,,,4925,41.9553776,79.918912,,,,273
node,5604552010,Shumkar,Shumkar,,,4925,40.4472135,75.0606799,,,,406
node,8998542388,Mount Murphy,Mount Murphy,гора Мерфи,Мерфи тоосу,4925,42.0558096,78.7979185,,,,89
node,1867556519,пик Сибирских Университетов,,,,4921,42.1996056,78.6912028,,,,366
node,2593036248,,,,,4921,39.3183755,74.3665414,,,,151
node,10076718621,,,,,4921,40.1090629,74.0248275,,,,1294
node,5605661123,Рикошет,,,,4920,41.9446392,78.3497862,,,,269
node,10218666548,,,,,4920,42.1182963,79.6481967,,,,39
node,2598261541,,,,,4917,39.0048999,74.9733615,,,,1088
node,5604555954,Скалолазка,,,,4916,41.8325306,78.3153444,,,,235
node,2959677447,Pik Plaza,,,,4905,41.016075,77.519875,,,,165
node,5604556495,Уч-зеид,,,,4905,40.7071244,74.3534946,,,,915
node,5604555990,Змея,,,,4903,41.268207,77.293715,,,,1114
node,8925821379,Марона,,,,4902,41.1212231,77.6911599,,,,315
node,13530471418,Жавжарова,,,,4901,42.1975187,79.9816596,,,,85
node,2593035974,,,,,4900,39.2330636,74.6953072,,,,173
node,2598261567,,,,,4900,39.0285838,74.9904165,,,,
node,2598261598,,,,,4900,39.0485297,75.0159584,,,,423
node,10218782120,Дикий,,Дикий,,4900,42.1265564,80.0668143,,,,278
node,2593146301,,,,,4898,39.1791662,74.7567542,,,,194
node,2593035932,,,,,4895,39.2313738,74.6353575,,,,200
node,3345999243,пик Семёнова-Тянь-Шаньского,,,,4895,42.5208893,74.5715485,2231,Q20619813,en:Semenov-Tian-Shansky Peak,2227
node,5604553168,Ледяная Стрекоза,,,,4892,41.0142414,77.242183,,,,278
node,2589812477,,,,,4890,41.8506115,79.9171219,,,,237
node,5605660240,,,,,4887,41.6629482,78.8419722,,,,233
node,10223759310,Броненосец,,Броненосец,,4887,42.1898641,79.8782444,,,,207
node,5605660238,Kathryn,Kathryn,,,4885,41.7141864,79.0407944,,,,401
node,2593036092,,,,,4883,39.2749041,74.4238524,,,,51
node,2593135346,,,,,4882,39.0839192,74.0037323,,,,50
node,2593146238,,,,,4882,39.0577292,74.8965261,,,,319
node,2596899076,,,,,4881,39.1553161,74.9863913,,,,239
node,2589812551,,,,,4879,41.9452553,79.8225501,,,,120
node,2593135330,,,,,4875,39.0501573,74.2194786,,,,87
node,1867556471,,,,,4870,42.0756258,78.8239324,,,,402
node,2596899032,,,,,4870,39.1269154,74.9400153,,,,90
node,10218782085,Песни Абая,,Песни Абая,,4870,42.1298187,80.0225687,,,,93
node,2593146328,,,,,4866,39.2226584,74.8531285,,,,255
node,5604553166,Нога бабочки,,,,4865,41.039276,77.303736,,,,105
node,1867556458,,,,,4855,42.0316159,78.6286132,,,,381
node,2593036047,,,,,4855,39.2612412,74.5165996,,,,242
node,3345999219,пик Лермонтова,,,,4855,42.5067831,74.5797208,,,,273
node,2593135282,,,,,4854,39.0011294,74.3170859,,,,130
node,2117817601,,,,,4850,41.8917558,79.768728,,,,527
node,2596899079,,,,,4850,39.1558324,74.9569227,,,,101
node,3336726226,Пастухова,,,,4850,42.4668139,74.7222625,,,,948
node,10218782139,Комсомол,,,,4850,42.1291516,79.97659,,,,277
node,5604556494,Хаокан Северный,,,,4848,40.5477333,74.6240833,,,,691
node,1867556477,,,,,4845,42.0991187,78.4037426,,,,381
node,2596899142,,,,,4844,39.2060056,74.7067836,,,,272
node,2593036168,,,,,4843,39.3000514,74.3276451,,,,137
node,2593036279,,,,,4842,39.323401,74.1166939,,,,131
node,2117838258,Краков,,,,4841,41.0045552,77.2617595,,,,172
node,3336576793,Киргизстан,,,,4840,42.4858224,74.714583,,,,701
node,5604552017,Karyshkyr,,,,4836,40.4675102,75.0908962,,,,210
node,2589812487,,,,,4830,41.8596309,79.7552541,,,,376
node,2593146334,,,,,4830,39.24007,74.8864816,,,,209
node,5604552016,Kumay,,,,4830,40.4534825,75.0440037,,,,353
node,10218666938,,,,,4830,42.0979518,79.5124125,,,,388
node,11125502246,Корона 3-я,,,,4830,42.508151,74.5659873,,,,171
node,5604554298,Джукучак,,,,4829,42.036385,78.1295919,,,,671
node,5605660267,Энгельгардта,,,,4826,41.6373806,78.6869,,,,476
node,10768402835,Черноголовка,,,,4825,41.0865642,77.6137847,,,,93
node,2589812496,,,,,4822,41.8683832,79.8413909,,,,171
node,1867556475,,,,,4820,42.0900383,78.8785743,,,,325
node,2593036103,,,,,4820,39.276763,74.4493277,,,,108
node,2593036125,,,,,4817,39.2826311,74.6639987,,,,185
node,2589812534,,,,,4815,41.9214916,79.8640673,,,,142
node,2593036062,,,,,4815,39.2660236,74.1468477,,,,127
node,5604555772,,,,,4815,41.4180778,77.6928194,,,,1019
node,1875542094,Двурогая,,,,4814,42.5041438,74.5723098,,,,134
node,5604553212,Пирамида,,,,4812,41.0539072,77.3047526,,,,223
node,2593135348,,,,,4810,39.0898638,74.0535105,,,,99
node,2593146277,,,,,4810,39.13689,74.8180035,,,,160
node,3346060521,Корона 4-я,,,,4810,42.5074093,74.5662677,,,,10
node,10218666947,,,,,4810,42.0874745,79.5091724,,,,195
node,5604554296,Иттиш,,,,4808,42.0081334,77.9312059,,,,922
node,2593135335,,,,,4807,39.0604525,74.2126468,,,,85
node,2589812579,,,,,4805,41.9880606,79.9180251,,,,165
node,2593135368,,,,,4805,39.1326114,74.0958471,,,,338
node,2959677444,Pik Anin,,,,4805,41.0022897,77.4933743,,,,111
node,2589812528,,,,,4803,41.906354,79.8870249,,,,182
node,2589838804,,,,,4801,41.9544202,79.8285106,,,,63
node,2593135252,гора Догдорбаши,,гора Догдорбаши,,4801,39.0465326,74.2426121,,,,160
node,5604553121,Bars,,,,4800,40.4437912,75.0520431,,,,131
node,10246609665,Гусева,,Гусева,,4800,42.2015802,80.0775326,,,,79
node,11125502247,Корона 2-я,,,,4800,42.5089018,74.5652381,,,,76
node,5605660897,пик Слоненок,,,,4797,42.1743373,78.5094273,,,,280
