osm_type,osm_id,name,name_en,name_fr,name_es,elevation_m,lat,lon,prominence,wikidata,wikipedia,prominence_calc
node,5375778209,Pic d'Aret,,,,2939,42.7542863,0.2750079,540,Q31653203,,543
node,3707866584,Punta Alta de Comalesbienes,,,,3014,42.5857601,0.8803745,539,Q7260504,ca:Punta Alta de Comalesbienes,542
node,732725482,L'Escarpu ou Pic de Sesques,,,,2606,42.9191814,-0.5037737,523,Q49753105,,528
node,571121503,Pic d'Aspe,,Pic d'Aspe,,2640,42.7634819,-0.5657495,525,,,526
node,2188365878,Pic de l'Estanyó,,,,2915,42.6086785,1.5926138,519,Q4563375,ca:Pic de l'Estanyó,523
node,1329675213,Pic de Certascan,,,,2853.3,42.7119892,1.2776779,513,Q11941458,ca:Pic de Certascan,516
node,1825431806,Pic de Néouvielle,,Pic de Néouvielle,,3091,42.8353661,0.1151204,487,Q3088745,fr:Pic de Néouvielle,515
node,6905677133,Puntal de Chía,,,,2515,42.551155,0.420608,509,,,515
node,11063995093,Peña Forca,,,,2390,42.8245008,-0.755446,,,,514
node,986027125,Mont Valier,,,,2838,42.7978573,1.0857291,515,Q2420742,fr:Mont Valier,510
node,1250026636,Pico Tendeñera,,,,2845,42.6798404,-0.1993344,494,,,506
node,948494798,Adi,,,,1457.10,43.0195396,-1.4452202,,Q8188242,,498
node,948497195,Saioa,,,,1418.30,43.0459429,-1.559205,,Q8538692,,495
node,1091885439,Tuc dera Pincela,,,,2535.6,42.7428606,0.8756981,488,Q11953323,,489
node,3421804427,Pic de Salòria,,,,2788.8,42.5144541,1.3851452,486,Q7190467,ca:Pic de Salòria,487
node,1167184319,Peñablanca,,,,1583,42.8587247,-0.9718426,,Q12265816,,481
node,6186107417,Pico Cibollés,,,Pico Cibollés,2749,42.5409749,0.5720618,477,,,477
node,733904691,Moun Né,,,,2724,42.8935906,-0.1673211,468,Q3325945,,475
node,948465873,Jaizkibel,,,,545.30,43.3452869,-1.8559722,,Q115504316,,463
node,732200009,Pic des Taillades,,,,2691,42.9309037,-0.2837859,455,,,455
node,3291236073,Errazu,,,,1387,42.9301408,-1.3235716,,,,455
node,6185638278,Puig Pedrós Sud,,Puig Pedrós Sud,,2842,42.5885591,1.8730538,,,,448
node,1142897713,Lakartxela,,,,1982,42.9514599,-0.8905991,,Q8538704,,447
node,948494726,Baigura,,,,1474,42.8711914,-1.2429235,,Q56478572,eu:Baigura (Areta),441
node,901125108,Pic de Comapedrosa,,,,2943,42.591799,1.4436614,434,Q62467,ca:Comapedrosa,436
node,2426987626,Puig de Coma Negra,,Puig de Coma Negra,,1557.7,42.3332995,2.5277649,425,Q4889555,ca:Comanegra,428
node,733993042,Pic d'Ardiden,,,,2988,42.8340053,-0.0676333,423,Q3382344,,426
node,1163394601,Gorramakil,,,,1090,43.219438,-1.4325327,,,,418
node,494395676,Pic Palas,,,,2974,42.8494134,-0.3132716,401,Q3382327,fr:Pic Palas,410
node,989447282,Pic de Fonta,,,,1934,42.8045229,1.1582625,,,,410
node,3632608353,Tosa de Siscaro,,,,2818,42.5890571,1.7267866,,,,409
node,1142984775,Mesa de los Tres Reyes,,Pic des Trois Rois,Mesa de los Tres Reyes,2446,42.9193893,-0.7274923,397,Q546180,,407
node,948497083,Mendaur,,,,1130.60,43.1554453,-1.7192864,,Q3305754,eu:Mendaur,405
node,1102580806,Pic du Port ou Pic de Font Blanca,,Pic du Port ou Pic de Font Blanca,,2903,42.6496897,1.5343398,389,Q3382368,ca:Pic de la Font Blanca,402
node,273188840,Puig d'en Jordà,,,,754.2,42.4277552,3.082045,402,Q11943529,ca:Puig d'en Jordà,401
node,11646993933,Pic d'Arradoy,,,,660,43.1870982,-1.2346896,,Q12254059,,394
node,474976107,Piméné,,,,2801,42.7356146,0.021642,378,,,393
node,2008250724,Tossa Plana de Lles,,,,2904.9,42.468233,1.6565494,390,Q11941543,ca:Pic de la Portelleta,390
node,6039758913,Ihatea hegoa,,,,1286,43.1136564,-1.0077851,,,,390
node,1304134189,Tuc des Armèros,,,,2533.7,42.7812475,0.8769094,386,Q24002832,,389
node,5217554979,Puig de la Senyoral,,,,1306,42.4203137,2.6487508,,Q31074173,ca:Puig de la Senyoral,387
node,1250038823,Pic de Gabiet,,,,2716,42.721251,-0.0874519,374,Q3382366,fr:Pic de Gabiet,386
node,11646993932,Artzamendi,,,,926,43.282856,-1.4084331,,,,386
node,1060153622,Pic de Sauvegarde,,Pic de Sauvegarde,,2736,42.6949418,0.6309305,371,Q3382388,,384
node,3021851619,lo Tossal,,,,2493.9,42.4346372,1.019389,386,Q11933827,ca:Lo Tossal (Sort),384
node,11649674789,Pic Péric,,,,2810,42.6135585,1.9844075,384,Q11943424,ca:Puig Peric,383
node,3706616041,Cap de Gelada,,,,2448.6,42.5215534,0.7651351,375,Q17481530,ca:Cap de Gelada,381
node,6025162783,Secundaria Txamantxoia,,,,1941,42.902427,-0.8163089,,,,381
node,841976648,Pic de Sudou,,,,1167,43.0608679,-0.7758537,,,,381
node,11646993826,Pic Bastard,,,,2093,42.5824094,2.1375031,,Q31651841,ca:Pica Bastard,379
node,652132535,Pico de Arriel,,Pic d'Arriel,Pico de Arriel,2824,42.834117,-0.3312968,378,Q3382351,fr:Pic d'Arriel,378
node,247102455,Soum des Salettes,,,,2976,42.7687509,0.1110067,380,,,377
node,736135862,Arbizon,,,,2831,42.8759675,0.2726372,366,Q2859683,,377
node,11646993798,Serrat de la Mente,,,,2135,42.4999883,2.3189686,,,,376
