osm_type,osm_id,name,name_en,name_fr,name_es,elevation_m,lat,lon,prominence,wikidata,wikipedia,prominence_calc
node,3961922888,Tossal dels Tres Senyors,,,,1362.8,42.1635115,1.1804827,,Q8540011,ca:Tossal dels Tres Senyors,38
node,1304124313,Roca del Corb,,,,1362.3,42.3817684,1.6590775,,Q11946038,ca:Roca del Corb (Lles de Cerdanya),4
node,4121047167,Pui de les Canals,,,,1362,42.3215498,0.888158,,Q17481514,ca:Pui de les Canals,25
node,6467685310,,,,,1362,42.3175825,-0.5572128,,,,16
node,10021993470,Punta la Fabosa,,,,1362,42.3669452,-0.5346562,,,,11
node,3412772862,Roc de la Caubera,,,,1361.4,42.4343731,1.4397191,,,,-1
node,5899306346,Cim de Barral,,,,1361.3,42.1102865,2.3530223,,,,111
node,11925037897,,,,,1361.1,42.0356877,0.8575988,,,,46
node,575907090,Puig d'Estela,,,,1361,42.2016815,2.3469961,240,,,16
node,1304137164,Tossal de la Canaleta,,,,1361,42.2891716,1.4582806,,Q11952758,ca:Tossal de la Canaleta,73
node,3024598422,Tossal d'Empedret,,,,1361.0,42.3603396,0.8355915,,,,14
node,3446381644,Garcetena Alta,,,Garcetena Alta,1361,42.3471138,-0.6636049,,,,43
node,3946611582,Las Leras,,,,1361,42.6474754,-1.0975306,,,,433
node,4210549864,Estuche,,,,1361,42.6292505,-0.5732839,,,,36
node,6299978795,Sant Antoni,,,,1361,42.3051179,2.3759542,281,,,300
node,26864202,Peña de Izaga,,,Peña de Izaga,1360,42.7122555,-1.4299117,801,Q8538688,es:Peña Izaga,802
node,1733106032,Pic de Calamane,,,,1360,42.9396965,1.2393968,,,,51
node,4275522113,Peyre Blanque,,,,1360,42.8734452,0.3707629,,,,53
node,8331405807,Xate,,,,1359.6,42.9592937,-1.1811047,,,,9
node,3675300830,Roca de Castellar,,,,1359.2,42.2197457,1.8039748,,Q17481612,ca:Roca de Castellar (Vallcebre),41
node,733858761,Pic de Légorre,,,,1359,43.0280716,-0.7746648,,,,66
node,1241921614,El Cuello,,,,1359,42.445751,-0.184788,,,,0
node,1821311937,Pic de la Humassade,,,,1359,42.9702262,0.529175,,,,75
node,3476855525,Puig Cornelis,,,,1359,42.1306978,2.3977281,,Q17481779,ca:Puig Cornelis,67
node,3946611583,Cerro de las Cabañas,,,,1359,42.6464548,-1.1084814,,,,43
node,8323026012,Nabala,,,,1359,43.0104938,-1.2793858,,,,2
node,948706924,Puig de Llivia,,,,1358.4,42.4676943,1.9861433,,Q113111090,,114
node,7015032090,Roques de Ventolana,,,,1358.3,42.2914528,1.8486638,,,,6
node,1200968946,Sommet de la Husse,,,,1358,42.981841,0.8503761,,,,118
node,1938014496,Capolat,,,,1358,42.108337,1.6257696,,,,24
node,3446381642,,,,,1358,42.3419315,-0.6440314,,,,8
node,6037136374,Punta de la Roca d'Anell,,,,1358.0,42.2364848,1.1968373,,,,10
node,7342905790,Pic de l'oie,,,,1358,42.999855,-0.3793019,,,,66
node,8685768577,Cap de la Ruère,,,,1358,42.9305474,1.2950873,,,,14
node,9492021246,,,,,1358,42.9336363,1.334857,,,,12
node,9492021247,,,,,1358,42.9336932,1.3361651,,,,12
node,1304139021,Tossal Negre,,,,1357.6,42.3744455,1.7061692,,Q11952632,ca:Tossal Negre (Prullans),54
node,4880434931,Roca de Prenals,,,,1357.6,42.3951663,0.9403425,,,,15
node,428520463,Les Toupiettes,,,,1357,43.0818462,-0.189114,,,,33
node,2084905169,Tossal del Solà,,,,1356.2,42.3992582,0.8546746,,Q11952879,ca:Tossal del Solà (Sarroca de Bellera),16
node,576652361,Roc de l'Àliga,,,,1356,42.3728032,1.6553537,,Q11945846,ca:Roc de l'Àliga (Lles de Cerdanya),66
node,1243032683,Urrua,,,,1356,42.8689751,-1.0393513,,,,53
node,3296013546,Santzenbizkarra,,,,1356,42.9717213,-1.0243588,,,,6
node,8685768576,,,,,1356,42.9296601,1.2934735,,,,4
node,11646993797,Roc des Quarante Croix,,,,1356,42.7047199,2.3479896,,Q51758492,ca:Roc de les Quaranta Creus,39
node,948494760,Arangoiti,,,,1355.80,42.6445912,-1.1956142,,Q12253827,,143
node,3476370596,Cogulló de Sant Quiri,,,,1355.6,42.1084314,1.1321504,,Q11914431,ca:Cogulló de Sant Quiri,63
node,13361032088,Roca de Castellar,,,,1355.3,42.4986018,1.2699098,,,,15
node,1243058215,Okolin,,,,1355,43.0439416,-1.5787985,,,,121
node,4155407518,Puig Margarell,,,,1355,42.2711663,1.4401786,,Q17482468,ca:Puig Margarell,6
node,13153262350,Mirador del Salto,,,,1355,42.7815696,-0.3266772,,,,13
node,9771954021,Cap del Portet,,,,1354.9,42.1912496,1.8382272,,Q23993348,,90
node,3646295732,Roca de Cal Gollet,,,,1354.5,42.2134305,1.3752557,,Q17481458,ca:Roca de Cal Gollet,28
node,3278631563,Cap d'Estaques,,,,1354.3,42.0995438,1.5396986,,Q11912080,ca:Cap d'Estaques,137
node,1249948966,Cap del Tossal,,,,1354,42.2309539,1.8567371,,Q11912154,ca:Cap del Tossal,28
node,8599542338,Monte Santa Eugenia,,,,1354,42.6046324,-0.5695809,,,,86
node,3924068827,Roca del Forat dels Coloms,,,,1353.7,42.248641,0.8153073,,,,50
node,3961922887,Tossal de la Devesa,,,,1353.5,42.1622693,1.1820455,,Q11952766,ca:Tossal de la Devesa (Abella de la Conca),6
node,11941861653,,,,,1353.3,42.1917727,1.2227106,,,,41
node,3762254956,Soum d'Ire,,,,1353,43.0488064,-0.7025193,,,,292
node,8682536471,,,,,1353,42.8242145,1.1829302,,,,15
node,11941456774,,,,,1352.3,42.1648427,1.157313,,,,59
node,1705540148,Soum de Counée,,,,1352,43.0749069,-0.4736722,,,,36
node,7015032112,Roc de Piula,,,,1352,42.2914868,1.8400324,,,,20
node,3689597689,les Aiades,,,,1351.4,42.258679,2.2652998,,Q11931473,ca:Les Aiades,131
node,9909224376,les Roques Blanques,,,,1351.3,42.2787031,2.33911,,,,48
node,4895273028,el Faro,,,,1351.2,42.493888,0.7781732,,,,3
node,2833419285,Sant Corneli,,,,1351.1,42.1827966,1.0028054,383,Q7419084,ca:Sant Corneli,384
node,659541721,,,,,1351,42.3689675,-0.5417204,,,,20
node,1249943926,Puig de l'Ofrena,,,,1351,42.1717225,2.3638733,,Q17482881,ca:Puig de l'Ofrena,73
node,12385146441,Cap de la Pale du Broucau,,,,1351,42.8847339,0.7535922,,,,19
node,12400695869,Tuc de Saussibe,,,,1351,42.7927159,1.2897021,,,,11
node,4581215351,Tossal de Castalona,,,,1350.7,42.4383256,1.1050419,,Q17481583,ca:Tossal de Castalona,25
node,948497138,Berrendi,,,,1350.60,42.9522055,-1.2148756,,Q12255053,,66
node,736138850,Pène Conseillère,,,,1350,42.9553709,0.3958184,,,,26
node,3770302482,Serrat de les Greixes,,,,1349.1,42.0815902,1.7505202,,,,8
node,11941861654,,,,,1349.1,42.1878846,1.2241029,,,,69
node,1241624122,Cap de la Costa,,,,1349,42.2211178,1.5029138,,,,71
node,2078418303,Pic du Pibeste,,,,1349,43.0518552,-0.0808071,,,,36
node,4543126348,Amorro,,,,1349,42.8857128,-1.9474717,,Q12253378,,23
node,5567221123,Montagne du Rey,,,,1349,43.0766614,-0.3907549,,,,368
node,7536156041,Hegi xüria,,,,1349,43.0392717,-1.0431644,,,,28
node,3961922883,Cap d'Estany,,,,1348.3,42.1614832,1.1880734,,Q11912081,ca:Cap d'Estany,41
node,4546829168,Montagut,,,,1348.1,42.1891273,1.05406,,Q17482709,ca:Montagut (Conca de Dalt),171
node,1241911138,Peña Surta,,,,1348,42.3256794,-0.0053001,,,,124
node,1241922312,Pico Posento,,,,1348,42.3097351,-0.2288897,,,,165
node,4543123936,Lezizagoa,,,,1348,42.8767336,-1.9407199,,,,47
node,4767511328,Esquena d'Ase,,,,1348,42.1505094,1.9044814,,,,50
node,5219308156,Soum d'Arroumère,,,,1348,43.0286542,-0.7096348,,,,26
node,5490324879,Santa Anna dels Quatre Termes,,,,1348,42.565142,2.5611707,,Q25434148,fr:Santa Anna dels Quatre Termes,313
node,6467685311,,,,,1348,42.3145678,-0.5542088,,,,18
node,7485814433,Roca de l'Àliga,,,,1347.7,42.342738,2.4281776,,,,8
node,3406656252,Cap de Tastanós,,,,1347.4,42.1477381,1.9029641,,,,62
node,3436805253,el Coscoller,,,,1347.2,42.1408509,1.3282488,,Q11918284,ca:El Coscoller (Coll de Nargó),45
node,1250020230,Cerro Cecilio,,,Cerro Cecilio,1347,42.7089697,-0.8306599,,,,264
node,5227894577,Puig Antic,,,,1347,42.3280092,2.5510185,,,,15
node,6467685720,Peña Espaldada,,,,1347,42.3119725,-0.55155,,,,23
node,10004504671,,,,,1347,42.3357509,-0.5910718,,,,4
node,12385146437,Tuc Usclat,,,,1347,42.9022897,0.7293128,,,,0
node,1241590169,Puigverd,,,,1346,42.1541387,2.3237614,,,,6
node,1815593992,Pic de Pène d'Uch,,,,1346,42.9665381,0.5278611,,,,28
node,5046652364,Cortàs,,,,1345.9,42.3914281,1.8023163,,,,6
node,6164632621,Tossal de Termenat,,,,1345.6,42.0949723,1.7240301,,,,68
node,897565387,Artxueta,,,,1345,42.9525155,-1.9640224,,Q12254240,,739
node,1113947370,Pic Gaztélia,,,,1345,43.0546406,-1.0319437,,,,-79
node,1304137797,Malgorra Txikia,,,,1345,42.9922521,-1.0486661,,,,50
node,1333961148,Cot Dous Thèses,,,,1345,42.9492242,-0.5917091,,,,6
node,1667682004,Pic d'Arragnat,,,,1345,43.0008783,-0.1442331,,,,7
node,3290742967,Errotzate,,,,1345,43.0441486,-1.1716941,,,,
node,11646993941,Errozate,,,,1345,43.0441129,-1.1714906,,Q3057489,,295
node,1601540160,Puig de les Àligues,,,,1344.2,42.1090039,2.3493276,,,,32
node,3898700506,Roca del Racó de l'Ós,,,,1344.1,42.2933911,1.0556464,,Q11946058,ca:Roca del Racó de l'Ós,17
node,659540231,Picardiello,,,,1344,42.3479177,-0.2612257,,,,24
node,4365310543,,,,,1344,42.327736,-0.4997675,,,,18
node,6926396342,Punta Piniacha,,,,1344,42.4970586,0.2414757,,,,8
node,13153262329,Mirador de San Mamés,,,,1344,42.7706044,-0.329842,,,,39
node,11956171862,,,,,1343.4,42.2169179,0.8181413,,,,30
node,576092640,Roc de la Dona,,,,1343,42.2868158,1.4741806,,,,4
node,1304115289,Tossal de Cal Franc,,,,1342.2,42.3023022,1.4331056,,Q17481456,ca:Tossal de Cal Franc,149
node,11956172133,,,,,1342.2,42.2365507,0.8326774,,,,10
node,3296016815,Intzaga,,,,1342,42.9102348,-0.8959223,,,,24
node,4922624020,Punta Fondons,,,,1342,42.6048611,-0.1405436,,,,17
node,11133823565,Blasquis,,,,1342,42.641732,-0.6140661,,,,171
node,11646994146,Pech dels Escarabatets,,,,1342,42.7834041,2.3259129,,,,412
node,12391528091,Pic de Craberon,,,,1342,42.907781,0.9003731,,,,108
node,12465499132,Tozal de las Tierras,,,,1342,42.7222731,-0.2729005,,,,49
node,12465573453,Tozal de Peiró,,,,1342,42.7260588,-0.2875549,,,,30
node,3684317236,Roca Roja,,,,1341.1,42.2736369,2.0460571,,Q17483387,ca:Roca Roja (Castellar de n'Hug),20
node,6374031907,Pic Hourcat,,,,1341,43.0769904,-0.4618445,,,,79
node,12398136255,Pic du Mont Né,,,,1341,42.9812418,0.4860916,,,,35
node,3387890457,Picota dels Collars,,,,1340.6,42.0490662,0.8155703,,,,16
node,4894071378,,,,,1340.6,42.4235356,0.8057472,,,,16
node,3920101277,Tossal del Camp,,,,1340.3,42.3361977,0.8398036,,,,20
node,1243014390,Iturrondo,,,,1340,43.0261592,-1.5622133,,,,19
node,4258243477,Sant Antoni Vell,,,,1340,42.3055209,2.3799561,,Q17483456,ca:Sant Antoni Vell,65
node,8682536498,,,,,1340,42.8252079,1.1826782,,,,16
node,7217027758,,,,,1339.6,42.1953351,1.8452272,,,,7
node,9263538630,,,,,1339,42.5069921,0.3884993,,,,3
node,10154238134,Roc de Peyre Caussile,,,,1339,42.918936,1.3565698,,,,11
node,3920101259,Cap del Pla,,,,1338.8,42.3432962,0.8388736,,,,11
node,5102521060,Puig Rodon,,,,1338.1,42.0810672,1.6884264,,Q11943427,ca:Puig Rodon (Capolat),42
node,1159762461,Iturrunburu,,,,1338,43.0268247,-1.4275173,,Q12259907,,127
node,1304133852,Menditxusia,,,,1338,42.8668003,-1.1739227,,Q112786159,eu:Menditxusia,
node,3290742965,Urkulugibela,,,,1338,43.0546198,-1.2449724,,,,36
node,6655296295,pic de Prédouset,,,,1338,42.9463356,-0.2075431,,,,13
node,6679927433,Saroberri,,,,1338,43.0583759,-1.0895172,,,,202
node,7014855367,Cap de la Baga,,,,1338,42.2774423,1.8040921,,Q17481290,ca:Cap de la Baga (Gisclareny),29
node,9263538631,,,,,1338,42.5118912,0.3757364,,,,15
node,11456163614,Zamukadoia,,,,1338,42.8595055,-1.1744457,,,,114
node,2082327750,Roca de la Savina,,,,1337.8,42.389147,0.770783,,Q11946019,ca:Roca de la Savina,81
node,3249695644,Serrat Roi,,,,1337.4,42.4036487,0.8100163,,,,23
node,4352931718,Hilagaphünta,,,,1337,43.0303683,-0.8444385,,,,75
node,11662477992,Montsugra,,,,1337,42.8026431,1.9538122,,,,43
node,13110354275,Torres d'en Presta,,,,1337,42.4158024,2.4165743,,,,9
node,1133037846,Mendilatz,,,,1336.1,43.0207432,-1.2151988,,Q12263411,,270
node,1241946042,Punta Cornera,,,,1336,42.3233165,-0.2761366,,,,36
node,3946645082,Raya Alta,,,Raya Alta,1336,42.4533026,-0.9478541,,,,111
node,12391528097,Tuc d'Aucous,,,,1336,42.9045771,0.8739581,,,,4
node,1241921131,Peña Blanca,,,,1335,42.3270229,-0.273189,,,,32
node,7994390529,Cabane Drète 2,,,,1335,42.7832439,1.2557063,,,,28
node,4068407484,,,,,1334.2,42.2164886,0.8210134,,,,4
node,1699960790,Tuc de la Lane,,,,1334,42.8004485,1.3085524,,,,213
node,3946614684,Paso del Oso,,,,1334,42.6477037,-1.1440996,,,,26
node,12397389410,Pic d'Arien,,,,1334,42.9763705,0.532646,,,,47
node,1187639850,Urkuluko Gandorra,,,,1333,43.0250597,-1.1226222,,,,52
node,11646993854,Pic de les Salines,,,,1333,42.4254573,2.7518385,,Q429731,ca:Puig de les Pedrisses,94
node,6552392934,la Foradada,,,,1332.8,42.1908045,1.895087,,,,48
node,6835208250,el Pujolet,,,,1332.3,42.220057,1.6821997,,,,3
node,3920101267,Roca de l'Àliga,,,,1332.1,42.3520773,0.8026435,,,,18
node,5120471728,Pic de Toulouse,,,,1332,42.7070025,2.3552263,,,,33
node,12434033209,Tuc de Linguet,,,,1332,42.9661456,0.9504994,,,,-3
node,2206884229,Serrat de les Banes,,,,1331.8,42.0663013,0.6928992,,,,7
node,5046018373,la Bòfia,,,,1331.8,42.1430617,1.3351878,,,,17
node,11941981631,,,,,1331.6,42.1786889,1.195098,,,,34
node,13644596520,Sant Quiri,,,,1331.5,42.1108909,1.1352795,,,,26
node,3429441740,Serrat de les Maleses,,,,1331.4,42.3522418,1.6687081,,Q17483591,ca:Serrat de les Maleses (Montellà i Martinet),31
node,3450730333,l'Encreuament,,,,1331.3,42.2559892,0.8765392,,Q11930086,ca:L'Encreuament,11
node,9909224775,Turó dels Pelats,,,,1331.1,42.2809212,2.3440861,,,,8
node,13410327531,Mont de Tareu,,,,1331.1,42.0316136,0.7666316,,Q11937382,ca:Mont de Tàreu,22
node,13644596521,,,,,1331.1,42.1052113,1.1302772,,,,15
node,1329675162,Pic de Cabanedrête,,,,1331,42.7848026,1.2555871,,,,14
node,7905980939,Tusal Redono,,,,1331,42.5925675,0.5243698,,,,21
node,3748773688,la Moleta,,,,1330.7,42.4639655,1.2089181,,,,4
node,3698326916,Puig de les Pedrisses,,,,1330.6,42.4254034,2.7513998,,Q429731,ca:Puig de les Pedrisses,3
node,1250018374,Lo Graller;Montgai,,,,1330.50,42.0732703,0.6587724,,Q11933753,ca:Lo Graller,526
node,11066189950,,,,,1330.5,42.1097623,1.8067133,,,,24
node,4908977349,,,,,1330.4,42.3225674,0.7719475,,,,12
node,9473631488,Puig de Pano,,,Puig de Pano,1330,42.4499,-0.9095858,,,,72
node,11646994161,,,,,1330,42.7909911,2.1737802,,,,200
node,3898700526,lo Rocal,,,,1329.8,42.2936526,1.0544988,,,,10
node,3920101273,Serrat del Teixet,,,,1329.7,42.3281716,0.8358977,,,,15
node,3924068831,Tossal Ras,,,,1329.2,42.2193783,0.8030788,,Q17483249,ca:Tossal Ras,30
node,4329510775,Castellsec,,,,1328.9,42.2287676,1.9989753,,Q17481635,ca:Castellsec,109
node,3125974205,Tossal de Moreu,,,,1328.1,42.1485832,1.1395991,,Q11952701,ca:Tossal de Moreu,64
node,1241946128,Tossal de les Fogueres,,,,1328,42.4119444,0.688941,,,,21
node,2870603442,Roc de Sant Cugat,,,,1328,42.3249703,0.7540199,,Q11945839,ca:Roc de Sant Cugat,54
node,7052642562,Pène de bourg,,,,1328,42.9688806,0.1848196,,,,-141
node,7321607469,Tuc aux Pentières,,,,1328,42.9686766,0.9622644,,,,42
node,11307987117,Colldemà,,,,1328,42.1512455,1.387616,,,,39
node,12406711338,Garrail,,,,1328,43.0803337,-0.4950293,,,,12
node,12862755113,lo Graller,,,,1328,42.073499,0.6587695,,,,40
node,3024598420,Serrat de Broculús,,,,1327.4,42.3556532,0.8281499,,Q11948950,ca:Serrat de Broculús,45
node,6322705472,,,,,1327.2,42.322688,0.7640189,,,,24
node,1241922636,Pico el Borón,,,,1327,42.2555089,-0.2870515,,,,247
node,12391445183,Tuc Dour,,,,1327,42.8747962,0.9247073,,,,13
node,12400695870,Tuc de Mongalas,,,,1327,42.8625651,1.2974911,,,,228
node,3278631564,Prat d'Estaques,,,,1326.9,42.0937194,1.5307733,,Q11942560,ca:Prat d'Estaques,21
node,11941561157,,,,,1326.6,42.169677,1.1861006,,,,39
node,667976454,Pène de Hèche,,,,1326,43.0780811,-0.2089692,,,,70
node,1037609897,Roc de Jocavell,,,,1326,42.5661362,2.4945794,,Q47170834,ca:Roc de Jocavell,81
node,1250038589,El Cerro,,,,1326,42.2303715,-0.0147057,,,,51
node,1304115143,Ekialterrea,,,,1326,42.9067143,-0.9025965,,Q112786858,eu:Ekialterrea,68
node,4121047169,el Codó,,,,1326,42.3015175,0.9145937,,Q11918259,ca:El Codó (Senterada),17
node,4275522114,Pic de Pignaue,,,,1326,42.8734035,0.3667012,,,,6
node,5227894578,Puig de Sant Marc,,,,1326,42.3176986,2.5621544,,Q11943630,ca:Puig de Sant Marc,76
node,7016515899,Tossal Llisoi,,,,1326,42.2011629,1.8435132,,,,20
node,8323037234,Txangoamendi,,,,1326,43.0434535,-1.2570008,,,,8
node,11646994165,Pic de Garal,,,,1326,42.7816206,1.4933487,,,,62
node,11804187426,la Trona,,,,1326,42.0615635,0.689427,,,,57
node,3687217176,el Tor,,,,1324.6,42.2581722,2.107099,,,,89
node,5109318482,el Tosell Xic,,,,1324.4,42.1133303,2.3737267,,,,8
node,1241931884,Tozal del Cagicar,,,Tozal del Cagicar,1324,42.3322843,-0.2295338,,,,14
node,1249944814,l'Artigassa,,,,1324,42.2243734,1.9270819,,Q11930064,ca:L'Artigassa,29
node,11280985843,Cap de Roc del Grau,,,,1323.2,42.1297996,1.3789708,,,,24
node,5046652367,Roca Punxenta,,,,1323.1,42.3838172,1.7819902,,Q17483219,ca:Roca Punxeta (Bellver de Cerdanya),34
node,8701765020,Serre de Goueil,,,,1323,42.9311388,1.3051836,,,,10
node,13022709634,Puntal de Aquilero,,,,1323,42.6188471,-0.6345465,,,,164
node,4258243478,Sant Antoni,,,,1322,42.3020276,2.3794434,,,,40
node,8382161682,,,,,1322,42.9369336,1.2733159,,,,-8
node,10016219839,,,,,1322,42.3403566,-0.6286473,,,,3
node,12390623692,Garroc Rouy,,,,1322,43.0422987,-0.2458294,,,,23
node,12391528092,Pic de Pujatech,,,,1322,42.9028192,0.9016519,,,,18
node,12626607811,El Castisillo,,,,1322,42.4430282,0.4702301,,,,8
node,3024598426,lo Tossal,,,,1321.5,42.3623625,0.8429285,,,,2
