leg_num,location,distance_km,ascent_m,descent_m
1,Lower Falls,0,0,0
2,River,8.00,345.61,82.39
3,Binnein Beag,2.10,636.65,3.21
4,Sgurr Eilide Mor,3.50,383.06,298.5
5,Binnein Mor,3.40,391.62,265.4
6,Na Gruigaichean,1.80,119.84,211.9
7,An Gearanach,3.30,321,379.9
8,Stob Coire a Chairm,1.20,129.47,142.3
9,Am Bodach,1.70,256.8,183
10,Sgurr a Mhaim,3.00,347.75,271.8
11,Stob Ban,3.40,308.16,422.7
12,Mullach nan Coirean,3.30,217.21,267.5
13,Lower Falls,3.30,0,928.8
