osm_type,osm_id,name,name_en,name_ru,name_ky,elevation_m,lat,lon,prominence,wikidata,wikipedia
node,2487754567,,,,,2157.5,41.128717,69.8384664,,,
node,2349268269,,,,,2155.0,41.6382684,70.3848966,,,
node,2349268276,,,,,2155.0,41.6580725,70.4010104,,,
node,349032471,,,,,2154.6,40.6832316,69.7817011,,,
node,3690707144,,,,,2153.5,41.5195123,70.08592,,,
node,2349268253,,,,,2152.3,41.6006587,70.3856175,,,
node,2586600572,Шаукаттог,,,,2150,41.284117,69.8675542,,,
node,2527554420,,,,,2149,40.9824031,70.2447291,,,
node,5116500408,,,,,2146.9,41.1119919,70.8800232,,,
node,2567572112,,,,,2140.1,41.9130811,70.4354917,,,
node,9415412929,,,,,2135,40.0889836,72.1131589,,,
node,2537555301,,,,,2134.6,40.8615823,70.2095129,,,
node,2490694258,,,,,2133.2,41.094521,69.9615346,,,
node,4851094826,,,,,2131.4,41.1023881,70.7278025,,,
node,2330393817,,,,,2130.7,41.3400824,69.9231449,,,
node,2553957645,,,,,2129.5,41.7396321,70.0377803,,,
node,5057879639,,,,,2129.2,41.1055329,70.6931376,,,
node,2524149535,Terkoklibashi,Terkoklibashi,Теркоклибаши,,2127,40.9820391,70.2900712,,,
node,2495867972,,,,,2125.3,41.2078186,70.4758608,,,
node,4821992097,,,,,2123.9,41.2658612,70.5328034,,,
node,2312659509,,,,,2123.4,41.7170293,69.8839373,,,
node,2495867971,,,,,2123.0,41.1884824,70.4722238,,,
node,2566129123,,,,,2122.4,41.9741471,70.4031815,,,
node,2495867970,,,,,2120.3,41.1868297,70.4208967,,,
node,4860956316,,,,,2120.2,41.0047233,70.5344466,,,
node,2351814742,,,,,2118.5,41.4208457,70.3185817,,,
node,2572661834,,,,,2116.0,41.8730016,70.2359712,,,
node,2572749606,,,,,2113.8,41.8629726,70.3609676,,,
node,2506343959,,,,,2113.7,40.6434689,69.7538982,,,
node,9408837562,,,,,2105,40.1542526,71.9763301,,,
