Total,282,,,,,Munro,Height(m),(ft),Rank,Region #,Region Name,Num,Year First,Date,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
,,,,,,Ciste Dhubh,979,3212,174,123,Shiel,2,2019,20/09/2019,21/07/2023,,,,,,,,,,
,,,,,,Carn Ghlusaid,957,3140,204,123,Shiel,1,2021,02/06/2021,,,,,,,,,,,
,,,,,,Saileag,956,3136,207,123,Shiel,4,2019,20/09/2019,07/05/2023,07/05/2024,12/07/2024,,,,,,,,
,,,,,,Creag a'Mhaim,947,3107,219,123,Shiel,2,2022,26/03/2022,07/05/2023,,,,,,,,,,
,,,,,,Sgurr na Sgine,946,3104,222,123,Shiel,2,2019,21/09/2019,07/05/2023,,,,,,,,,,
,,,,,,Creag nan Damh,918,3012,274,123,Shiel,3,2022,27/03/2022,07/05/2023,31/03/2024,,,,,,,,,
,,,,,,Carn Eighe,1183,3881,12,124,Affric and Strathfarrar,3,2018,19/08/2018,12/08/2020,25/07/2021,,,,,,,,,
,,,,,,Mam Sodhail,1181,3875,14,124,Affric and Strathfarrar,3,2018,19/08/2018,12/08/2020,25/07/2021,,,,,,,,,
,,,,,,Sgurr nan Ceathreamhnan,1151,3776,22,124,Affric and Strathfarrar,1,2021,25/07/2021,,,,,,,,,,,
,,,,,,Sgurr na Lapaich,1150,3773,24,124,Affric and Strathfarrar,2,2019,30/11/2019,25/07/2021,,,,,,,,,,
,,,,,,An Riabhachan,1129,3704,29,124,Affric and Strathfarrar,2,2019,30/11/2019,25/07/2021,,,,,,,,,,
,,,,,,Tom a'Choinich,1112,3648,41,124,Affric and Strathfarrar,2,2018,18/08/2018,25/07/2021,,,,,,,,,,
,,,,,,Sgurr a'Choire Ghlas,1083,3553,60,124,Affric and Strathfarrar,1,2022,02/05/2022,,,,,,,,,,,
,,,,,,An Socach,1069,3507,68,124,Affric and Strathfarrar,2,2019,30/11/2019,25/07/2021,,,,,,,,,,
,,,,,,Toll Creagach,1054,3458,77,124,Affric and Strathfarrar,2,2018,18/08/2018,25/07/2021,,,,,,,,,,
,,,,,,Sgurr Fhuar-thuill,1049,3442,82,124,Affric and Strathfarrar,1,2022,02/05/2022,,,,,,,,,,,
,,,,,,Beinn Fhada (Beinn Attow),1032,3386,100,124,Affric and Strathfarrar,2,2020,14/08/2020,02/11/2024,,,,,,,,,,
,,,,,,Beinn Fhionnlaidh,1005,3297,127,124,Affric and Strathfarrar,2,2018,19/08/2018,12/08/2020,,,,,,,,,,
,,,,,,Sgurr na Ruaidhe,993,3258,150,124,Affric and Strathfarrar,1,2022,02/05/2022,,,,,,,,,,,
,,,,,,Carn nan Gobhar,993,3258,151,124,Affric and Strathfarrar,2,2019,30/11/2019,25/07/2021,,,,,,,,,,
,,,,,,Carn nan Gobhar,992,3255,153,124,Affric and Strathfarrar,1,2022,02/05/2022,,,,,,,,,,,
,,,,,,Mullach na Dheiragain,982,3222,167,124,Affric and Strathfarrar,1,2021,25/07/2021,,,,,,,,,,,
,,,,,,An Socach,921,3022,270,124,Affric and Strathfarrar,1,2021,25/07/2021,,,,,,,,,,,
,,,,,,A'Ghlas-bheinn,918,3012,276,124,Affric and Strathfarrar,1,2020,13/08/2020,,,,,,,,,,,
,,,,,,Liathach - Spidean a'Choire Leith,1055,3461,75,125,Glen Carron and Torridons,5,2019,22/06/2019,07/04/2023,08/04/2023,19/03/2025,17/10/2025,,,,,,,
,,,,,,Sgurr a'Chaorachain,1053,3455,78,125,Glen Carron and Torridons,2,2021,24/04/2021,29/08/2024,,,,,,,,,,
,,,,,,Liathach - Mullach an Rathain,1023,3356,108,125,Glen Carron and Torridons,5,2019,22/06/2019,07/04/2023,08/04/2023,19/03/2025,17/10/2025,,,,,,,
,,,,,,Beinn Eighe - Ruadh-stac Mor,1010,3314,123,125,Glen Carron and Torridons,4,2018,21/04/2018,12/11/2021,24/06/2022,26/12/2025,,,,,,,,
,,,,,,Maoile Lunndaidh,1005,3297,128,125,Glen Carron and Torridons,2,2021,24/04/2021,29/08/2024,,,,,,,,,,
,,,,,,Sgurr Choinnich,999,3278,139,125,Glen Carron and Torridons,2,2021,24/04/2021,29/08/2024,,,,,,,,,,
,,,,,,Beinn Eighe - Spidean Coire nan Clach,993,3258,152,125,Glen Carron and Torridons,4,2018,21/04/2018,12/11/2021,24/06/2022,26/12/2025,,,,,,,,
,,,,,,Lurg Mhor,987,3238,161,125,Glen Carron and Torridons,2,2021,23/04/2021,28/09/2024,,,,,,,,,,
,,,,,,Beinn Alligin - Sgurr Mor,986,3235,163,125,Glen Carron and Torridons,7,2016,06/06/2016,23/06/2019,25/06/2022,06/12/2022,08/04/2023,17/10/2024,21/03/2025,,,,,
,,,,,,Sgorr Ruadh,962,3156,194,125,Glen Carron and Torridons,3,2021,03/04/2021,20/11/2022,20/03/2025,,,,,,,,,
,,,,,,Bidein a'Choire Sheasgaich,945,3100,226,125,Glen Carron and Torridons,2,2021,23/04/2021,28/09/2024,,,,,,,,,,
,,,,,,Maol Chean-dearg,933,3061,246,125,Glen Carron and Torridons,3,2020,27/09/2020,20/11/2022,20/03/2025,,,,,,,,,
,,,,,,Moruisg,928,3045,254,125,Glen Carron and Torridons,1,2023,14/07/2023,,,,,,,,,,,
,,,,,,Beinn Liath Mhor,926,3038,261,125,Glen Carron and Torridons,2,2021,03/04/2021,20/03/2025,,,,,,,,,,
,,,,,,Beinn Alligin - Tom na Gruagaich,922,3025,268,125,Glen Carron and Torridons,9,2016,06/06/2016,07/07/2017,23/06/2019,02/06/2021,25/06/2022,06/12/2022,08/04/2023,17/10/2024,21/03/2025,,,
,,,,,,Sgurr Mor,1108,3635,45,126,Great Wilderness / Fannaichs,1,2022,30/08/2022,,,,,,,,,,,
,,,,,,Sgurr nan Clach Geala,1093,3586,53,126,Great Wilderness / Fannaichs,2,2020,11/07/2020,22/10/2021,,,,,,,,,,
,,,,,,An Teallach - Bidean a'Ghlas Thuill,1062,3484,72,126,Great Wilderness / Fannaichs,5,2018,09/06/2018,01/05/2022,11/11/2023,10/04/2025,15/11/2025,,,,,,,
,,,,,,An Teallach - Sgurr Fiona,1060,3478,73,126,Great Wilderness / Fannaichs,5,2018,09/06/2018,01/05/2022,11/11/2023,10/04/2025,15/11/2025,,,,,,,
,,,,,,Mullach Coire Mhic Fhearchair,1018,3340,115,126,Great Wilderness / Fannaichs,3,2018,26/06/2018,28/08/2021,10/04/2025,,,,,,,,,
,,,,,,Sgurr Breac,999,3278,140,126,Great Wilderness / Fannaichs,1,2020,11/07/2020,,,,,,,,,,,
,,,,,,A'Chailleach,997,3271,145,126,Great Wilderness / Fannaichs,1,2020,11/07/2020,,,,,,,,,,,
,,,,,,Sgurr Ban,989,3245,157,126,Great Wilderness / Fannaichs,3,2018,26/06/2018,28/08/2021,10/04/2025,,,,,,,,,
,,,,,,Slioch,981,3219,171,126,Great Wilderness / Fannaichs,3,1997,24/05/1997,25/06/2019,20/10/2024,,,,,,,,,
,,,,,,A'Mhaighdean,967,3173,188,126,Great Wilderness / Fannaichs,3,2018,26/06/2018,28/08/2021,10/04/2025,,,,,,,,,
,,,,,,Beinn Liath Mhor Fannaich,954,3130,209,126,Great Wilderness / Fannaichs,1,2022,30/08/2022,,,,,,,,,,,
,,,,,,Meall Gorm,949,3114,215,126,Great Wilderness / Fannaichs,1,2022,30/08/2022,,,,,,,,,,,
,,,,,,Beinn Tarsuinn,937,3074,239,126,Great Wilderness / Fannaichs,3,2018,26/06/2018,28/08/2021,10/04/2025,,,,,,,,,
,,,,,,Meall a'Chrasgaidh,934,3064,242,126,Great Wilderness / Fannaichs,2,2020,11/07/2020,22/10/2021,,,,,,,,,,
,,,,,,Fionn Bheinn,933,3061,247,126,Great Wilderness / Fannaichs,1,2018,29/12/2018,,,,,,,,,,,
,,,,,,Sgurr nan Each,923,3028,266,126,Great Wilderness / Fannaichs,2,2020,11/07/2020,22/10/2021,,,,,,,,,,
,,,,,,An Coileachan,923,3028,267,126,Great Wilderness / Fannaichs,1,2022,30/08/2022,,,,,,,,,,,
,,,,,,Ruadh Stac Mor,919,3015,273,126,Great Wilderness / Fannaichs,3,2018,27/06/2018,28/08/2021,10/04/2025,,,,,,,,,
,,,,,,Beinn Dearg,1084,3556,57,127,Ben Wyvis to Ben Hope,2,2021,09/07/2021,25/09/2025,,,,,,,,,,
,,,,,,Ben Wyvis - Glas Leathad Mor,1046,3432,87,127,Ben Wyvis to Ben Hope,2,2021,11/07/2021,23/06/2022,,,,,,,,,,
,,,,,,Ben More Assynt,998,3274,143,127,Ben Wyvis to Ben Hope,1,2019,31/12/2019,,,,,,,,,,,
,,,,,,Conival (Cona'Mheall),987,3238,162,127,Ben Wyvis to Ben Hope,2,2019,31/12/2019,11/03/2023,,,,,,,,,,
,,,,,,Cona'Mheall,978,3209,176,127,Ben Wyvis to Ben Hope,1,2021,09/07/2021,,,,,,,,,,,
,,,,,,Meall nan Ceapraichean,977,3205,178,127,Ben Wyvis to Ben Hope,3,2021,09/07/2021,06/03/2022,25/09/2025,,,,,,,,,
,,,,,,Ben Klibreck,962,3156,195,127,Ben Wyvis to Ben Hope,1,2021,28/06/2021,,,,,,,,,,,
,,,,,,Am Faochagach,953,3127,213,127,Ben Wyvis to Ben Hope,1,2021,09/07/2021,,,,,,,,,,,
,,,,,,Eididh nan Clach Geala,927,3041,257,127,Ben Wyvis to Ben Hope,2,2022,05/03/2022,25/09/2025,,,,,,,,,,
,,,,,,Ben Hope,927,3041,258,127,Ben Wyvis to Ben Hope,1,2021,27/06/2021,,,,,,,,,,,
,,,,,,Seana Bhraig,926,3038,262,127,Ben Wyvis to Ben Hope,2,2022,05/03/2022,25/09/2025,,,,,,,,,,
,,,,,,Sgurr Alasdair,992,3255,154,128,Islands of Mull and Skye,7,2022,20/04/2022,03/06/2022,01/05/2023,02/05/2023,23/07/2023,05/05/2024,14/07/2024,,,,,
,,,,,,Inaccessible Pinnacle (Sgurr Dearg),986,3235,164,128,Islands of Mull and Skye,1,2022,04/06/2022,,,,,,,,,,,
,,,,,,Sgurr a'Ghreadaidh,973,3192,185,128,Islands of Mull and Skye,5,2023,01/05/2023,22/07/2023,25/05/2024,13/07/2024,14/07/2024,,,,,,,
,,,,,,Ben More (Mull),966,3169,189,128,Islands of Mull and Skye,3,2023,25/02/2023,18/05/2024,14/07/2024,,,,,,,,,
,,,,,,Sgurr na Banachdich,965,3166,190,128,Islands of Mull and Skye,7,2022,04/06/2022,01/05/2023,22/07/2023,28/08/2023,25/05/2024,13/07/2024,14/07/2024,,,,,
,,,,,,Sgurr nan Gillean,964,3163,191,128,Islands of Mull and Skye,1,2022,21/04/2022,,,,,,,,,,,
,,,,,,Bruach na Frithe,958,3143,202,128,Islands of Mull and Skye,3,2019,24/05/2019,29/04/2023,14/07/2024,,,,,,,,,
,,,,,,Sgurr Mhic Choinnich,948,3110,217,128,Islands of Mull and Skye,4,2023,01/05/2023,02/05/2023,23/07/2023,14/07/2024,,,,,,,,
,,,,,,Sgurr Dubh Mor,944,3097,228,128,Islands of Mull and Skye,6,2022,20/04/2022,03/06/2022,01/05/2023,23/07/2023,05/05/2024,14/07/2024,,,,,,
,,,,,,Am Basteir,934,3064,243,128,Islands of Mull and Skye,2,2022,02/06/2022,14/07/2024,,,,,,,,,,
,,,,,,Bla Bheinn (Blaven),928,3045,255,128,Islands of Mull and Skye,4,2016,25/05/2016,22/04/2022,03/05/2023,05/05/2024,,,,,,,,
,,,,,,Sgurr nan Eag,924,3031,265,128,Islands of Mull and Skye,5,2022,20/04/2022,03/06/2022,01/05/2023,23/07/2023,14/07/2024,,,,,,,
,,,,,,Sgurr a'Mhadaidh,918,3012,277,128,Islands of Mull and Skye,7,2023,01/05/2023,22/07/2023,04/05/2024,25/05/2024,13/07/2024,14/07/2024,20/05/2025,,,,,
