,July 11th,,1 effort =,Distance,1,,,Pace,Hours at pace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mamores,61.6,7.2,441.6,56.3,7.0,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valley  Fersit,46.9,6.9,322,50.9,7.3,369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lochaber,74.5,7.4,549,75.8,7.2,549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,183.0,,,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Where,Hours,Time of day,Total Hours,Dist,Asc,Desc,,Dist,Asc,Desc,,Notes,Time at Water,,Effort,Min / effort,Mins,,Time of day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Youth Hostel,,06:00,,0,,,,0,,,,,,,0.00,,0.0,0.0,06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Nevis,1:49,01:49,1:49,5.76,1369,3,,5.76,1369,3,,,,,16.72,6.5,108.7,108.7,01:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carn Mor Dearg,0:31,02:20,2:20,2.13,187,322,,7.89,1556,326,,,,,4.49,7.0,31.4,140.1,02:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aonach Mor,0:47,03:07,3:07,2.55,391,386,,10.44,1947,711,,,,,6.71,7.0,47.0,187.0,03:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aonach Beag,0:23,03:30,3:30,1.79,148,138,,12.23,2095,850,,,,,3.34,7.0,23.4,210.4,03:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sgurr Choinnich Mor,0:59,04:30,4:30,3.96,385,544,,16.19,2479,1394,,,,,8.49,7.0,59.4,269.8,04:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stob Coire An Laoigh,0:30,05:00,5:00,2.03,197,173,,18.22,2676,1566,,,,,4.06,7.5,30.5,300.3,05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stob Choire Claurigh,0:39,05:40,5:40,3.02,225,167,,21.24,2901,1734,,,,,5.26,7.5,39.5,339.8,05:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stob Ban 2,0:32,06:12,6:12,1.97,173,357,,23.21,3073,2090,,,,,4.30,7.5,32.3,372.0,06:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
River,0:27,06:39,6:39,2.14,0,547,,25.35,3073,2637,,,,,3.60,7.5,27.0,399.0,06:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stob Coire Easian,1:01,07:40,7:40,2.36,706,26,,27.71,3779,2663,,,,,8.08,7.5,60.6,459.6,07:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stob a’ Choire Mheadhoin,0:20,#VALUE!,7:60,1.10,149,150,,28.81,3928,2813,,,,,2.69,7.5,20.2,479.8,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fersit Dam,1:00,09:00,9:00,5.71,1,875,,34.52,3929,3688,,,,,8.05,7.5,60.4,540.2,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stob Coire Sgriodan,1:15,10:15,10:15,3.25,761,19,,37.77,4690,3707,,,,,9.39,8.0,75.1,615.3,10:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chno Dearg,0:40,10:55,10:55,2.89,212,144,,40.66,4903,3850,,,,,4.97,8.0,39.8,655.1,10:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beinn Na Lap,1:20,12:15,12:15,4.79,465,572,,45.45,5367,4422,,,,,10.03,8.0,80.3,735.3,12:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beinn Na Lap turn off,0:42,12:57,12:57,3.67,8,565,,49.12,5376,4987,,,,,5.24,8.0,41.9,777.3,12:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
River,1:25,14:22,14:22,8.97,136,199,,58.09,5512,5185,,,,,10.59,8.0,84.7,862.0,14:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sgurr Eilide Mor,1:25,15:47,15:47,5.33,666,4,,63.42,6178,5190,,,,,10.67,8.0,85.3,947.3,15:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binnein Beag,0:53,16:40,16:40,3.10,317,360,,66.52,6495,5549,,,,,6.60,8.0,52.8,1000.1,16:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binnein Mor,0:45,17:25,17:25,1.97,353,186,,68.49,6847,5736,,,,,5.29,8.5,44.9,1045.0,17:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na Gruigaichean,0:27,17:52,17:52,1.67,113,205,,70.16,6961,5940,,,,,3.12,8.5,26.5,1071.6,17:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An Gearanach,0:55,18:46,18:46,3.02,310,359,,73.18,7271,6299,,,,,6.46,8.5,54.9,1126.5,18:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stob Coire a Chairn,0:23,19:09,19:09,1.21,133,145,,74.39,7404,6444,,,,,2.66,8.5,22.6,1149.1,19:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am Bodach,0:35,19:44,19:44,1.65,249,184,,76.04,7652,6628,,,,,4.13,8.5,35.1,1184.2,19:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sgurr a Mhaim,0:53,20:37,20:37,2.84,337,263,,78.88,7989,6891,,,,,6.24,8.5,53.0,1237.2,20:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stob Ban,0:54,21:31,21:31,3.01,288,399,,81.89,8277,7290,,,,,6.38,8.5,54.2,1291.4,21:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mullach,0:47,22:18,22:18,3.18,208,259,,85.07,8485,7549,,,,,5.53,8.5,47.0,1338.5,22:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Youth Hostel,1:24,23:43,23:43,7.22,21,957,,92.29,8506,8506,,,,,9.94,8.5,84.5,1422.9,23:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23:43,,,92.29,8506.16,8506.16,,,,,,,,,183.02,,1422.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
